Name,Country_Code,5yr-avg_gdp_pc,5yr-avg_pop,5yr-avg_vuln,5yr-avg_rdness,CO2_emissions_per_capita,Region,Income Group,CO2_emi,5yr-avg_gdp
Haiti,HTI,3001.854361,10980826.2,0.533137537,0.237764227,0.198863455,Latin America & Caribbean,Lower middle income,1881.724138,14954469173
Honduras,HND,5464.902067,9429272.6,0.464219671,0.274599557,0.86623489,Latin America & Caribbean,Lower middle income,6553.448276,23404046348
Hungary,HUN,30409.73744,9798106,0.35124788,0.504078361,5.249795772,Europe & Central Asia,High income,53172.75862,1.50339E+11
Iceland,ISL,55244.783,344737.6,0.314355816,0.727152462,7.17483616,Europe & Central Asia,High income,2114.827586,23672866627
India,IND,6228.475682,1338471182,0.504602724,0.334600069,1.102646214,South Asia,Lower middle income,1289541.379,2.63563E+12
Indonesia,IDN,11132.21371,264574474.2,0.448927824,0.367990311,1.493926487,East Asia & Pacific,Lower middle income,343978.6207,1.03346E+12
"Iran, Islamic Republic of",IRN,13774.67492,80688871.4,0.384426072,0.419897479,6.02200135,Middle East & North Africa,Lower middle income,425969.3103,3.2388E+11
Iraq,IRQ,10708.83788,37495811.4,0.438548462,0.299238392,3.939487449,Middle East & North Africa,Upper middle income,106343.7931,1.96608E+11
Ireland,IRL,79100.44728,4814688,0.300888423,0.616720207,9.477293612,Europe & Central Asia,High income,38884.82759,3.68882E+11
Israel,ISR,39332.65886,8715100,0.307442846,0.53661491,8.462869957,Middle East & North Africa,High income,57721.03448,3.70596E+11
Italy,ITA,41746.93605,60522789,0.313907137,0.515054188,6.9918845,Europe & Central Asia,High income,406035.1724,1.96578E+12
Jamaica,JAM,9550.342659,2920249.2,0.422603575,0.388903768,3.303006163,Latin America & Caribbean,Upper middle income,8894.482759,14852017366
Japan,JPN,41570.17437,126743067.8,0.360717379,0.722479892,9.254078932,East Asia & Pacific,High income,1172733.793,5.03559E+12
Jordan,JOR,9941.552783,9730984,0.372099492,0.411491235,2.958050228,Middle East & North Africa,Upper middle income,18292.06897,42486835972
Kazakhstan,KAZ,25118.00083,18033013.1,0.341278524,0.499256313,11.69433705,Europe & Central Asia,Upper middle income,189654.1379,1.67235E+11
Kenya,KEN,3974.227388,50223695.6,0.521056928,0.284825746,0.265223886,Sub-Saharan Africa,Lower middle income,10008.96552,90124618173
Kiribati,KIR,2247.458101,114213,,0.441930782,0.498906396,East Asia & Pacific,Lower middle income,47.5862069,190332534.9
"Korea, Democratic People's Repub",PRK,,25427508.4,0.487191867,0.343617309,2.851245216,East Asia & Pacific,Low income,64844.13793,
"Korea, Republic of",KOR,41255.64644,51382078.4,0.362188288,0.727378173,9.838268653,East Asia & Pacific,High income,474691.7241,1.62764E+12
Kuwait,KWT,49307.89014,4038592,0.368311034,0.411700082,23.66841662,Middle East & North Africa,High income,59464.82759,1.22093E+11
Kyrgyzstan,KGZ,4937.29034,6202860,0.344669464,0.385342233,1.631972055,Europe & Central Asia,Lower middle income,8278.275862,7878827570
Lao People's Democratic Republic,LAO,7244.070855,6954201.4,0.518560451,0.317378934,0.534140049,East Asia & Pacific,Lower middle income,3455.172414,17831039356
Latvia,LVA,29041.03407,1943855,0.377481454,0.580805202,3.893962195,Europe & Central Asia,High income,8926.206897,32202506321
Lebanon,LBN,15549.59833,6752062,0.412114884,0.313502678,3.800393323,Middle East & North Africa,Upper middle income,17845.17241,48735847819
Lesotho,LSO,2915.889202,2091766.8,0.455474085,0.316954197,0.965355055,Sub-Saharan Africa,Lower middle income,1912.758621,2235350984
Liberia,LBR,1442.254125,4703519.4,0.606712662,0.290301919,0.20334526,Sub-Saharan Africa,Low income,676.2068966,3346532420
Libyan Arab Jamahiriya,LBY,13559.24525,6589444.4,0.426080644,0.28514473,7.926784125,Middle East & North Africa,Upper middle income,45104.48276,38839668779
Liechtenstein,LIE,,37771.4,,0.637792607,5.995025323,Europe & Central Asia,High income,201.3793103,6558777208
Lithuania,LTU,34227.82842,2837986.2,0.357906969,0.589339679,4.216210123,Europe & Central Asia,High income,14115.86207,51160258919
Luxembourg,LUX,114393.4187,595160,0.286739662,0.685975953,21.81759152,Europe & Central Asia,High income,10101.03448,68552586693
Macedonia,MKD,15982.17866,2081697.2,0.35817219,0.467108904,4.330094071,Europe & Central Asia,Upper middle income,8787.931034,11906529775
Madagascar,MDG,1622.046502,25586136.6,0.548294945,0.265192226,0.100570539,Sub-Saharan Africa,Low income,1888.965517,13189140985
Malawi,MWI,1051.206671,17678582.8,0.548998731,0.277108158,0.079847614,Sub-Saharan Africa,Low income,1014.827586,9492993135
Malaysia,MYS,26971.54566,31107831.2,0.365153094,0.509635062,5.834314077,East Asia & Pacific,Upper middle income,152013.7931,3.36288E+11
Maldives,MDV,18377.47575,494695.8,0.502146649,0.423893594,2.077727518,South Asia,Upper middle income,760.3448276,4756961517
Mali,MLI,2246.427613,18530464.4,0.600506897,0.30139199,0.133930861,Sub-Saharan Africa,Low income,1947.586207,16241654694
Malta,MLT,42560.56885,471138.2,0.317888846,0.512588221,5.864410288,Middle East & North Africa,High income,2344.137931,13934126425
Marshall Islands,MHL,3714.206116,58087.2,,0.366621823,2.149190811,East Asia & Pacific,Upper middle income,117.2413793,224045700
Mauritania,MRT,4913.95402,4284284.8,0.561614135,0.346934827,0.529437345,Sub-Saharan Africa,Lower middle income,1700,7271118530
Mauritius,MUS,21595.53072,1264341,0.416533176,0.54036887,2.273537753,Sub-Saharan Africa,Upper middle income,2767.931034,12928036235
Mexico,MEX,19740.77794,124747055,0.400441846,0.37661049,3.819087419,Latin America & Caribbean,Upper middle income,403490.3448,1.16063E+12
"Micronesia, Federated States of",FSM,3442.386055,111404.8,0.580084185,0.355677143,1.195350856,East Asia & Pacific,Lower middle income,127.5862069,383801000
"Moldova, Republic of",MDA,11563.61514,2751108.8,0.415169871,0.414775061,3.606413844,Europe & Central Asia,Upper middle income,10491.72414,10616750026
Monaco,MCO,,38365.2,,0.785270795,,Europe & Central Asia,High income,,6859659082
Mongolia,MNG,11577.85194,3112790.4,0.387686734,0.452580526,4.990486932,East Asia & Pacific,Lower middle income,12996.55172,12671926654
Montenegro,MNE,20108.08924,622239.8,0.3544731,0.46764999,1.77496843,Europe & Central Asia,Upper middle income,1099.655172,5007084422
Morocco,MAR,7378.285467,35574420,0.37770871,0.415985497,1.396645144,Middle East & North Africa,Lower middle income,43307.93103,1.13137E+11
Mozambique,MOZ,1319.570986,28676589.8,0.513429481,0.271180648,0.111093136,Sub-Saharan Africa,Low income,2463.103448,13881220401
Myanmar,MMR,4833.974896,53372469.6,0.53882116,0.26635341,0.223280765,East Asia & Pacific,Lower middle income,11068.96552,67487133022
Namibia,NAM,10246.90801,2403666.6,0.471995541,0.380146886,1.334571421,Sub-Saharan Africa,Upper middle income,2676.428571,12083037262
